"fK","Số vaccine được cấp (liều)","Số người đã tiêm","Số người tiêm liều 1","Số người tiêm liều 2 ","Tổng số dân","Tỉnh thành Crawl","Tổng số dân trên 18 tuổi","Số liều Vaccine dự kiến phân bổ","Số liều Vaccine thực tế phân bổ","Tỷ lệ phân bổ trên dân số trên 18 tuổi","Tỷ lệ tiêm","Tỷ lệ tiêm đủ liều","Maps City","","","","","","","","","Color","Min","Max","Hex"
"An Giang","2730107","1491498","252889","1238609","1907400","An Giang","1457127","1563924","3041932","100,0","100,0","85,0","An Giang","","","","","","","","","1","0","10","ACD2E5"
"Bà Rịa - Vũng Tàu","27700","1062211","211894","850317","1152200","Bà Rịa - Vũng Tàu","891244","1563924","1975910","100,0","100,0","95,4","Bà Rịa - Vũng Tàu","","","","","","","","","2","10","30","70ADCC"
"Bạc Liêu","23500","646087","154405","491682","908200","Bạc Liêu","675288","1275056","1211190","89,7","95,7","72,8","Bạc Liêu","","","","","","","","","3","30","50","4B87A6"
"Bắc Giang","373760","1364106","561412","802694","1810400","Bắc Giang","1267538","2408322","2150960","84,8","100,0","63,3","Bắc Giang","","","","","","","","","4","50","70","26627F"
"Bắc Kạn","41290","197389","71044","126345","314400","Bắc Kạn","222390","409198","331470","74,5","88,8","56,8","Bắc Kạn","","","","","","","","","5","70","100","0A4766"
"Bắc Ninh","366860","1205723","366803","838920","1378600","Bắc Ninh","985257","1871988","1812860","92,0","100,0","85,1","Bắc Ninh","","","","","","","","","","","",""
"Bến Tre","30000","1066939","275158","791781","1289100","Bến Tre","980652","1863239","1804020","92,0","100,0","80,7","Bến Tre","","","","","","","","","","","",""
"Bình Dương","35700","2442311","663313","1778998","2456300","Bình Dương","2381252","3550283","4713970","99,0","100,0","74,7","Bình Dương","","","","","","","","","","","",""
"Bình Định","29800","947835","301357","646478","1487800","Bình Định","1110818","1966752","1902530","85,6","85,3","58,2","Bình Định","","","","","","","","","","","",""
"Bình Phước","30600","846117","270017","576100","997800","Bình Phước","758594","1285789","1469560","96,9","100,0","75,9","Bình Phước","","","","","","","","","","","",""
"Bình Thuận","26950","911168","277575","633593","1232300","Bình Thuận","865494","1592509","1701850","98,3","100,0","73,2","Bình Thuận","","","","","","","","","","","",""
"Cà Mau","26020","861692","-5878","867570","1194300","Cà Mau","857571","1629385","1619130","94,4","100,0","100,0","Cà Mau","","","","","","","","","","","",""
"Cao Bằng","101970","327418","108554","218864","530900","Cao Bằng","368973","678910","527060","71,4","88,7","59,3","Cao Bằng","","","","","","","","","","","",""
"Cần Thơ","19700","1009324","159737","849587","1236000","Cần Thơ","941769","1789361","2253568","100,0","100,0","90,2","Cần Thơ","","","","","","","","","","","",""
"Đà Nẵng","197690","953987","89950","864037","1141100","Đà Nẵng","885070","1571173","1720782","97,2","100,0","97,6","Đà Nẵng","","","","","","","","","","","",""
"Đăk Lăk","44000","1287279","530955","756324","1872600","Đắk Lắk","1362176","2317760","2041610","74,9","94,5","55,5","Đăk Lăk","","","","","","","","","","","",""
"Đăk Nông","23440","447621","81187","366434","625800","Đắk Nông","404872","723091","784320","96,9","100,0","90,5","Đăk Nông","","","","","","","","","","","",""
"Điện Biên","101730","356781","20245","336536","601700","Điện Biên","336229","663416","594360","88,4","100,0","100,0","Điện Biên","","","","","","","","","","","",""
"Đồng Nai","44800","2807464","543541","2263923","3113700","Đồng Nai","2384309","4256053","4943530","100,0","100,0","95,0","Đồng Nai","","","","","","","","","","","",""
"Đồng Tháp","48500","1174532","329555","844977","1598800","Đồng Tháp","1181264","2244402","2635490","100,0","99,4","71,5","Đồng Tháp","","","","","","","","","","","",""
"Gia Lai","47660","937520","423054","514466","1520200","Gia Lai","956614","1760170","1749032","91,4","98,0","53,8","Gia Lai","","","","","","","","","","","",""
"Hà Giang","115270","507623","164409","343214","858100","Hà Giang","592774","1145979","1093720","92,3","85,6","57,9","Hà Giang","","","","","","","","","","","",""
"Hà Nam","89570","640423","92910","547513","854500","Hà Nam","612219","1126483","1172570","95,8","100,0","89,4","Hà Nam","","","","","","","","","","","",""
"Hà Nội","2244890","6726535","1136483","5590052","8093900","Hà Nội","6200000","11376541","12090112","97,5","100,0","90,2","Hà Nội","","","","","","","","","","","",""
"Hà Tĩnh","144130","809924","356127","453797","1290300","Hà Tĩnh","892702","1642572","1185050","66,4","90,7","50,8","Hà Tĩnh","","","","","","","","","","","",""
"Hải Dương","224000","1227186","379160","848026","1896900","Hải Dương","1367571","2598385","1972990","72,1","89,7","62,0","Hải Dương","","","","","","","","","","","",""
"Hải Phòng","181480","1780889","273324","1507565","2033300","Hải Phòng","1580000","2857279","2708900","85,7","100,0","95,4","Hải Phòng","","","","","","","","","","","",""
"Hậu Giang","20400","603842","60746","543096","732200","Hậu Giang","536163","1018710","1190250","100,0","100,0","100,0","Hậu Giang","","","","","","","","","","","",""
"Hòa Bình","99370","553803","160739","393064","855800","Hoà Bình","680000","1100234","1011020","74,3","81,4","57,8","Hòa Bình","","","","","","","","","","","",""
"Hưng Yên","152690","936536","261912","674624","1255800","Hưng Yên","992340","1705117","1645622","82,9","94,4","68,0","Hưng Yên","","","","","","","","","","","",""
"Khánh Hòa","28770","1046868","147308","899560","1232800","Khánh Hòa","901731","1695222","1886770","100,0","100,0","99,8","Khánh Hòa","","","","","","","","","","","",""
"Kiên Giang","45800","1280305","381984","898321","1723700","Kiên Giang","1248338","2371842","2931680","100,0","100,0","72,0","Kiên Giang","","","","","","","","","","","",""
"Kon Tum","28060","351026","113939","237087","543400","Kon Tum","372446","611388","597800","80,3","94,2","63,7","Kon Tum","","","","","","","","","","","",""
"Lai Châu","63810","296563","67081","229482","462600","Lai Châu","282600","496261","494440","87,5","100,0","81,2","Lai Châu","","","","","","","","","","","",""
"Lạng Sơn","187010","545772","53966","491806","782800","Lạng Sơn","558242","1017262","1093820","98,0","97,8","88,1","Lạng Sơn","","","","","","","","","","","",""
"Lào Cai","111450","509938","109436","400502","733300","Lào Cai","518028","856325","892600","86,2","98,4","77,3","Lào Cai","","","","","","","","","","","",""
"Lâm Đồng","27100","1078544","180710","897834","1299300","Lâm Đồng","901167","1642299","1894274","100,0","100,0","99,6","Lâm Đồng","","","","","","","","","","","",""
"Long An","40025","1632056","214110","1417946","1695100","Long An","1361733","2397297","2939500","100,0","100,0","100,0","Long An","","","","","","","","","","","",""
"Nam Định","143210","1112038","534348","577690","1780900","Nam Định","1272614","2341610","1648880","64,8","87,4","45,4","Nam Định","","","","","","","","","","","",""
"Nghệ An","212640","2025199","610559","1414640","3337200","Nghệ An","1960668","4267816","3865800","98,6","100,0","72,2","Nghệ An","","","","","","","","","","","",""
"Ninh Bình","94790","619250","149882","469368","984500","Ninh Bình","695394","1279525","1210720","87,1","89,1","67,5","Ninh Bình","","","","","","","","","","","",""
"Ninh Thuận","23424","477734","115517","362217","591000","Ninh Thuận","428346","739091","892660","100,0","100,0","84,6","Ninh Thuận","","","","","","","","","","","",""
"Phú Thọ","140410","1003530","303351","700179","1466400","Phú Thọ","1029489","1894260","1694300","82,3","97,5","68,0","Phú Thọ","","","","","","","","","","","",""
"Phú Yên","19600","617692","142502","475190","873200","Phú Yên","616333","1171033","1108954","90,0","100,0","77,1","Phú Yên","","","","","","","","","","","",""
"Quảng Bình","91110","540891","140063","400828","896600","Quảng Bình","611974","1135015","943710","77,1","88,4","65,5","Quảng Bình","","","","","","","","","","","",""
"Quảng Nam","154050","1015469","430141","585328","1497500","Quảng Nam","1250469","1966932","2149770","86,0","81,2","46,8","Quảng Nam","","","","","","","","","","","",""
"Quảng Ngãi","161990","809699","173291","636408","1231900","Quảng Ngãi","883502","1678654","1975910","100,0","91,6","72,0","Quảng Ngãi","","","","","","","","","","","",""
"Quảng Ninh","337450","1090998","174207","916791","1324800","Quảng Ninh","1013446","1778123","2078208","100,0","100,0","90,5","Quảng Ninh","","","","","","","","","","","",""
"Quảng Trị","74790","437836","111521","326315","633400","Quảng Trị","463442","786243","813082","87,7","94,5","70,4","Quảng Trị","","","","","","","","","","","",""
"Sóc Trăng","29450","932419","187310","745109","1199500","Sóc Trăng","861361","1636586","2056160","100,0","100,0","86,5","Sóc Trăng","","","","","","","","","","","",""
"Sơn La","122270","706905","423093","283812","1252700","Sơn La","792702","1458572","1147180","72,4","89,2","35,8","Sơn La","","","","","","","","","","","",""
"Tây Ninh","37450","944443","136731","807712","1171700","Tây Ninh","977624","1658187","1997400","100,0","96,6","82,6","Tây Ninh","","","","","","","","","","","",""
"Thái Bình","157300","1225445","659121","566324","1862200","Thái Bình","1373070","2526449","1847180","67,3","89,2","41,2","Thái Bình","","","","","","","","","","","",""
"Thái Nguyên","143450","802478","326707","475771","1290900","Thái Nguyên","938660","1693856","1224530","65,2","85,5","50,7","Thái Nguyên","","","","","","","","","","","",""
"Thanh Hóa","196040","2249264","1521012","728252","3645800","Thanh Hóa","2605729","4794541","3760590","72,2","86,3","27,9","Thanh Hóa","","","","","","","","","","","",""
"Thừa Thiên Huế","142910","835755","305337","530418","1129500","Thừa Thiên Huế","805048","1481288","1569826","97,5","100,0","65,9","Thừa Thiên Huế","","","","","","","","","","","",""
"Tiền Giang","29600","1446021","271729","1174292","1766300","Tiền Giang","1488385","2512418","2874370","96,6","97,2","78,9","Tiền Giang","","","","","","","","","","","",""
"TP HCM","1401000","","","","9038600","TP HCM","","","","","","","TP HCM","","","","","","","","","","","",""
"Trà Vinh","28250","862442","394970","467472","1009300","Trà Vinh","734794","1396109","1294910","88,1","100,0","63,6","Trà Vinh","","","","","","","","","","","",""
"Tuyên Quang","83470","479508","264632","214876","786300","Tuyên Quang","535735","985752","860410","80,3","89,5","40,1","Tuyên Quang","","","","","","","","","","","",""
"Vĩnh Long","32700","847975","71602","776373","1022600","Vĩnh Long","769026","1461149","1674630","100,0","100,0","100,0","Vĩnh Long","","","","","","","","","","","",""
"Vĩnh Phúc","141390","799255","188739","610516","1154800","Vĩnh Phúc","789896","1453409","1409600","89,2","100,0","77,3","Vĩnh Phúc","","","","","","","","","","","",""
"Yên Bái","89510","494734","26263","468471","823000","Yên Bái","670421","1039328","1007390","75,1","73,8","69,9","Yên Bái","","","","","","","","","","","",""
